_time,uuid,type,count,avg_time_ms,interval,info
1612097618,196a3838-00b8-497c-bcf9-e5a46301a7d3,start,,,nscd threads=1
1612097628,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,448981,0.022,10,
1612097638,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,415526,0.024,10,
1612097648,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,456650,0.022,10,
1612097658,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,449590,0.022,10,
1612097668,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,458784,0.022,10,
1612097678,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,462476,0.022,10,
1612097688,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,469294,0.021,10,
1612097698,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,460744,0.022,10,
1612097708,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,435230,0.023,10,
1612097718,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,460808,0.022,10,
1612097728,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,469630,0.021,10,
1612097738,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,468600,0.021,10,
1612097748,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,465611,0.021,10,
1612097758,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,458902,0.022,10,
1612097768,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,468244,0.021,10,
1612097778,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,470065,0.021,10,
1612097788,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,455298,0.022,10,
1612097798,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,523505,0.019,10,
1612097808,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,524463,0.019,10,
1612097818,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,527394,0.019,10,
1612097828,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,532932,0.019,10,
1612097838,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,517188,0.019,10,
1612097848,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,530429,0.019,10,
1612097858,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,526215,0.019,10,
1612097868,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,485810,0.021,10,
1612097878,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,464112,0.022,10,
1612097888,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,466701,0.021,10,
1612097898,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,464152,0.022,10,
1612097908,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,463160,0.022,10,
1612097918,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,485084,0.021,10,
1612097928,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,509188,0.020,10,
1612097938,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,532589,0.019,10,
1612097948,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,523759,0.019,10,
1612097958,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,522515,0.019,10,
1612097968,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,531573,0.019,10,
1612097978,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,522685,0.019,10,
1612097988,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,519770,0.019,10,
1612097998,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,533145,0.019,10,
1612098008,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,506453,0.020,10,
1612098018,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,515295,0.019,10,
1612098028,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,437230,0.023,10,
1612098038,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,519122,0.019,10,
1612098048,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,527790,0.019,10,
1612098058,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,525212,0.019,10,
1612098068,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,525504,0.019,10,
1612098078,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,509828,0.020,10,
1612098088,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,524118,0.019,10,
1612098098,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,512583,0.020,10,
1612098108,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,529697,0.019,10,
1612098118,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,530911,0.019,10,
1612098128,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,510238,0.020,10,
1612098138,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,524989,0.019,10,
1612098148,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,524312,0.019,10,
1612098158,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,515741,0.019,10,
1612098168,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,497362,0.020,10,
1612098178,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,467601,0.021,10,
1612098188,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,467213,0.021,10,
1612098198,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,467498,0.021,10,
1612098208,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,462029,0.022,10,
1612098218,196a3838-00b8-497c-bcf9-e5a46301a7d3,metric,526836,0.019,10,
1612098218,196a3838-00b8-497c-bcf9-e5a46301a7d3,end,,,
1612099695,bab61d02-47b5-4a94-a91d-fd5e0d92723f,start,,,systemd-resolved threads=1
1612099705,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40445,0.247,10,
1612099715,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42074,0.238,10,
1612099725,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42842,0.233,10,
1612099735,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42858,0.233,10,
1612099745,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41424,0.241,10,
1612099755,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40405,0.247,10,
1612099765,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,39769,0.251,10,
1612099775,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40187,0.249,10,
1612099785,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,39146,0.255,10,
1612099795,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40935,0.244,10,
1612099805,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40292,0.248,10,
1612099815,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41960,0.238,10,
1612099825,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,41387,0.242,10,
1612099835,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42533,0.235,10,
1612099845,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42682,0.234,10,
1612099855,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42581,0.235,10,
1612099865,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,38079,0.263,10,
1612099875,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42730,0.234,10,
1612099885,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42667,0.234,10,
1612099895,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,38045,0.263,10,
1612099905,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42843,0.233,10,
1612099915,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40730,0.246,10,
1612099925,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42697,0.234,10,
1612099935,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42453,0.236,10,
1612099945,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42647,0.234,10,
1612099955,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,40158,0.249,10,
1612099965,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42686,0.234,10,
1612099975,bab61d02-47b5-4a94-a91d-fd5e0d92723f,metric,42926,0.233,10,
